genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
RDBP	-1	-1	3	-1	-1	-1	4	-1	4	4	-1	-1	1	0	-1	3	4	3	3	-1	4	-1	3	4	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	3	4	4	-1	2	-1	4
FH	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	3	3	3	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	4	4	-1	-1	4	4
PDHA1	-1	-1	-1	-1	-1	-1	3	4	3	4	4	-1	-1	-1	-1	4	-1	3	-1	-1	-1	-1	-1	4	3	-1	3	-1	-1	-1	-1	-1	-1	3	0	-1	4	4	-1	-1	4	-1
ITGB1BP1	-1	-1	-1	-1	-1	4	3	-1	-1	-1	4	-1	-1	4	3	-1	-1	3	-1	-1	-1	-1	0	3	3	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	3	5	-1	-1	-1	-1	4
ITGAE	-1	-1	0	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	3	4	-1	-1	3	0	-1	-1	-1	-1	3	-1	3	4	-1	-1	-1	-1	-1	-1	3	-1	3	5	-1	1	-1	4	-1
SERTAD2	-1	-1	-1	-1	-1	4	4	3	4	-1	-1	-1	-1	3	3	4	-1	4	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	0	-1	-1	3	1	-1	-1	-1	2	2	0	1
SELPLG	-1	-1	3	-1	4	4	4	4	4	4	4	4	-1	4	4	4	-1	-1	-1	-1	-1	-1	-1	1	3	-1	-1	1	-1	-1	-1	-1	-1	3	5	-1	-1	-1	2	-1	-1	4
ANP32B	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	4	4	-1	-1	-1	4
SEPHS2	1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	3	5	-1	4	4	-1	-1	4	3
YY1	1	-1	-1	-1	-1	-1	3	-1	-1	4	4	-1	1	3	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	4	3	-1	-1	-1	-1	-1	-1	3	5	-1	-1	-1	-1	2	-1	4
