genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
H3F3A	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	2	-1	2	0	-1
GSTP1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	2	-1	-1
RPL21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	0	0	0	0	1	-1	-1	-1	-1	-1	-1	5	-1	2	2	-1	-1	-1	-1
SNRPB	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	4	3	4	3	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	-1	0	1	1
PPIA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	4	4	3	3	-1	-1	-1	-1	-1	-1	-1	3	-1	0	0	-1	0	0	-1
HSPCA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	1	0	-1
ACTG1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	3	-1	-1	-1	-1	-1	-1	-1	4	-1	0	1	-1	1	0	1
RPL7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	4	5	-1	-1	0	-1	2	1	4
RPL17	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	4	3	-1	-1	-1	-1	-1	-1	4	5	-1	0	0	-1	-1	0	4
RPL3	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	4	4	-1	-1	0	-1	1	0	-1
EEF1G	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	0	-1	2	0	-1
EEF2	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	3	3	-1	-1	-1	-1	4	3	3	3	-1	-1	1	-1	-1	-1	-1	4	-1	0	0	-1	1	0	1
RPS14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	2	2	-1	2	-1	-1
RPS6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	0	-1	2	0	-1
RPS7	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	3	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	0	-1	0	0	1
RPL35A	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	3	-1	-1	-1	-1	-1	-1	-1	3	-1	0	-1	-1	-1	-1	-1	-1	4	-1	0	0	-1	2	0	-1
RPS2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	-1	2	0	-1
RPS18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	3	3	-1	-1	-1	-1	-1	-1	-1	3	-1	0	0	-1	0	0	-1
RPS16	-1	-1	-1	-1	4	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	3	3	-1	-1	3	-1	-1	-1	-1	4	0	0	0	-1	1	0	-1
RPL19	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	3	-1	-1	-1	-1	-1	-1	-1	3	-1	0	1	-1	1	0	-1
RPL31	-1	-1	3	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	4	3	3	-1	-1	-1	-1	-1	-1	-1	4	-1	0	0	-1	1	0	1
RPS5	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	3	3	-1	-1	-1	-1	3	3	3	3	3	-1	-1	-1	-1	-1	-1	4	-1	0	1	-1	1	0	-1
LAMR1	-1	-1	3	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	0	-1	3	3	-1	-1	-1	-1	3	3	3	3	4	-1	-1	-1	-1	-1	-1	3	-1	0	0	-1	1	0	-1
RPL29	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	3	-1	-1	-1	-1	-1	3	4	3	3	3	-1	-1	-1	-1	-1	-1	3	-1	-1	0	-1	1	0	-1
RPL18A	-1	-1	3	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	5	1	0	0	-1	-1	0	-1
RPS21	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	0	0	0	-1	1	0	-1
RPL38	-1	-1	-1	-1	4	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	0	0	-1	-1	0	-1
RPL12	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	0	-1
RPS28	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	-1	0	-1	-1	0	-1
RPS10	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	0	0	-1	2	0	-1
RPL9	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	2	0	0	-1	1	0	-1
RPS11	-1	-1	-1	-1	4	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	0	0	-1	-1	0	-1
RPL32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	0	0	-1	2	0	-1
RPS19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	-1	2	0	-1
RPL28	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	0	-1
RPL7A	-1	-1	-1	-1	4	-1	0	-1	4	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	0	-1	-1	-1	-1	0	-1
GNB2L1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	0	-1	-1	-1	0	-1
RPS3	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	-1	-1	2	-1	-1	0	-1
RPL13A	-1	-1	3	-1	-1	-1	-1	-1	4	-1	1	-1	-1	-1	-1	4	-1	-1	3	-1	-1	-1	-1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	5	0	-1	0	-1	-1	0	4
RPL8	-1	-1	3	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	4	5	0	-1	0	-1	-1	0	4
RPL10A	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	4	-1	0	-1	-1	-1	-1	0	4
RPS27A	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	2	0	-1
RPS23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	3	5	0	0	0	-1	2	0	-1
RPL11	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	0	0	0	-1	2	0	-1
RPS8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	0	-1	-1	0	-1
RPL6	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	0	-1	-1	-1	5	-1	-1	0	-1	-1	0	-1
RPL35	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	0	0	-1	2	0	-1
SLC25A6	-1	-1	3	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	4	-1	-1	-1	4
RPS3A	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	-1	-1	0	-1
RPL34	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	0	-1	2	-1	-1	0	-1
RPL23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	4	-1	-1	-1	0	4
RPS24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2	-1	-1
RPL27A	-1	-1	-1	-1	4	4	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	3	-1	3	-1	5	0	-1	-1	-1	-1	0	-1
PTMA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	4	3	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	0	-1	2	0	-1
HNRPA1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	3	3	4	3	-1	-1	-1	-1	-1	-1	4	5	3	2	2	-1	2	-1	-1
NACA	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	3	4	5	-1	-1	0	-1	-1	0	4
PTTG1IP	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	-1	-1	-1	-1	-1	-1	4	5	-1	0	0	-1	1	0	-1
YWHAH	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	3	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	0	4
MYH9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	4	3	-1	-1	-1	-1	-1	-1	3	5	-1	0	-1	-1	2	0	-1
PSMB1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	1	0	-1
TRIP12	-1	3	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	2	2	-1	1	1	-1
GRN	-1	-1	0	-1	4	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	4	4	-1	3	3	-1	-1	-1	-1	-1	-1	4	1	2	2	-1	1	0	-1
PRDX1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	4	0	-1	-1	0	-1
GSTO1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	-1	5	-1	2	0	-1	1	-1	-1
NPC2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	3	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	-1	1	0	-1
ALDOA	-1	-1	-1	-1	4	-1	0	-1	4	1	1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	3	4	3	3	3	-1	-1	0	-1	-1	0	3	0	0	0	-1	1	-1	-1
CSTB	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	3	4	-1	-1	-1	-1	-1	-1	3	0	0	1	-1	1	0	-1
VIM	-1	-1	-1	-1	4	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	3	3	3	4	-1	-1	1	-1	-1	0	4	0	0	0	-1	1	0	1
TMSB4X	-1	-1	0	-1	4	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	4	4	3	3	4	-1	-1	-1	-1	-1	0	5	0	0	0	1	1	0	1
TPT1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	-1	1	0	-1
EEF1A1	-1	-1	0	-1	4	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	3	3	3	3	4	-1	-1	-1	-1	-1	-1	4	0	0	0	-1	1	0	1
CST3	-1	-1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	3	4	3	3	-1	-1	-1	-1	-1	-1	-1	5	0	0	0	-1	-1	0	-1
GAPD	-1	-1	-1	-1	4	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	1	3	0	1	0	-1	1	0	-1
ACTB	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	4	-1	4	4	3	-1	-1	-1	-1	-1	0	3	1	0	0	-1	0	-1	1
CAPG	-1	-1	3	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	2	0	0	-1	1	0	-1
HLA-A	-1	-1	0	-1	4	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	3	4	3	-1	-1	-1	-1	-1	-1	-1	4	-1	0	0	-1	1	0	1
GM2A	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	-1	1	0	-1
TMSB10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	0	0	-1	1	0	-1
ENO1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	3	1	-1	0	-1	5	1	0	0	-1	1	0	-1
CD63	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	1	1	0	-1
ANXA2	-1	-1	-1	-1	4	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	-1	1	0	-1
SQSTM1	-1	-1	-1	-1	4	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	3	-1	-1	-1	-1	-1	-1	1	3	0	0	0	2	0	0	-1
IFNGR2	-1	-1	-1	-1	-1	-1	4	-1	4	-1	-1	-1	-1	1	1	4	-1	-1	-1	-1	-1	-1	-1	3	3	3	-1	-1	-1	0	0	0	1	3	5	-1	1	2	1	1	1	0
CD99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	3	3	3	3	-1	3	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	1	1
MSN	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	3	4	3	3	3	-1	-1	-1	-1	-1	-1	4	-1	1	2	-1	1	-1	1
MVP	4	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	1	1	-1	1	0	1
RHOG	-1	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	1	4	0	-1	-1	-1	-1	-1	-1	3	3	-1	3	-1	-1	-1	-1	-1	-1	4	5	-1	1	2	-1	1	1	-1
FSCN1	4	-1	-1	-1	-1	1	1	1	1	1	0	-1	-1	0	1	4	0	0	1	-1	-1	-1	-1	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	0	0	2	0	0	0
ANPEP	-1	-1	-1	-1	4	-1	1	1	-1	1	-1	-1	-1	-1	-1	0	1	-1	0	-1	-1	-1	-1	3	4	-1	-1	4	-1	1	1	-1	0	-1	3	-1	0	0	2	0	0	1
CTSL	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	1	-1	0	-1	-1	-1	-1	-1	3	3	3	3	4	-1	-1	-1	-1	-1	-1	4	1	0	0	1	1	0	1
CDKN1A	-1	-1	-1	-1	-1	-1	1	0	1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	3	-1	-1	-1	0	0	1	0	1	4	-1	0	0	1	0	0	1
IL4R	-1	-1	-1	4	-1	-1	-1	1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	4	4	3	-1	0	0	-1	-1	3	1	1	-1	1	1	-1	1
CD81	-1	-1	-1	-1	4	-1	0	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	1	-1	4	-1	-1	4	-1	-1	-1	-1	0	0	2	-1	-1	0	-1
PSAP	-1	-1	0	-1	4	-1	0	-1	4	1	1	-1	-1	-1	-1	3	-1	0	0	-1	-1	1	-1	4	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	2	0	-1	-1	0	-1
CTSD	-1	-1	0	-1	-1	-1	0	-1	4	1	1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	3	-1	3	1	0	4	-1	-1	-1	-1	-1	-1	-1	0	-1	2	-1	-1	-1	-1
FTL	1	-1	0	-1	-1	-1	0	-1	4	1	1	4	4	-1	-1	3	1	0	0	0	-1	1	-1	3	3	4	3	3	-1	-1	-1	-1	-1	0	5	0	0	0	-1	-1	0	-1
RPS29	-1	-1	-1	-1	4	-1	0	-1	-1	-1	1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2	-1	-1	0	-1
RPL41	-1	-1	0	-1	4	-1	0	-1	-1	1	1	-1	-1	-1	-1	3	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	5	0	0	0	-1	-1	0	-1
RPL37A	-1	-1	-1	-1	4	-1	0	-1	-1	1	1	-1	-1	-1	-1	3	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	0	-1
CFL1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	0	-1	2	-1	2	-1	-1
SCA2	-1	0	0	-1	3	-1	3	3	-1	4	-1	-1	3	4	4	-1	-1	0	0	-1	-1	-1	-1	-1	0	1	-1	3	-1	-1	-1	4	-1	-1	0	-1	2	-1	4	-1	-1	-1
RPS6KA1	-1	-1	-1	-1	-1	-1	4	3	4	4	4	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	1	4	4	-1	-1	3	0	-1	-1	0	-1	4	0	-1	-1	-1	4	-1	-1	4
SLA	-1	-1	-1	-1	3	-1	4	4	3	4	4	-1	4	-1	-1	0	-1	3	3	-1	-1	4	-1	3	3	3	3	3	-1	4	4	-1	4	-1	0	5	2	-1	-1	1	1	1
THAP11	4	-1	-1	-1	-1	-1	-1	-1	-1	4	3	-1	-1	-1	-1	0	3	-1	-1	-1	-1	-1	-1	4	3	4	-1	4	-1	-1	-1	-1	-1	1	0	1	-1	3	-1	-1	-1	0
NUP214	-1	-1	0	-1	4	-1	-1	4	4	-1	-1	4	4	-1	-1	-1	-1	3	-1	-1	3	4	-1	-1	4	4	-1	3	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	2	-1	1
VGLL4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	4	0	-1	4	-1	-1	-1	-1	-1	-1	-1	0	-1	4	-1	-1	-1	-1	-1
STXBP2	4	-1	-1	-1	3	-1	3	-1	-1	3	-1	-1	4	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	2	-1	-1
SLC2A5	-1	-1	0	-1	-1	-1	4	4	4	4	4	-1	4	-1	-1	3	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	3	-1	3	3	-1
CDA	-1	-1	-1	-1	-1	4	3	4	-1	3	3	-1	-1	4	-1	4	4	4	-1	-1	4	3	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	0	3	5	4	-1	0	-1	-1
ANXA11	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	4	4	-1	2	0	-1
LRRC14	4	-1	4	0	4	-1	-1	-1	-1	-1	-1	-1	4	3	4	4	-1	-1	-1	4	-1	1	-1	-1	3	0	3	-1	-1	-1	-1	-1	-1	-1	0	0	3	4	-1	-1	-1	4
ARFIP2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	1	4	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	3	0	3	4	-1	-1	-1	0	-1
