genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
QARS	             NaN	             NaN	             NaN	             NaN	             NaN	1.0255	1.464	1.1652	1.3715	1.0303	             NaN	1.0051	1.0809	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.2445	1.3564	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4821	             NaN	1.737	1.353	1.2146	1.5294	             NaN	             NaN
NDUFV3	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4225	1.1412	1.7502	             NaN	1.1061	             NaN	1.276	             NaN	             NaN	1.2711	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0556	1.0142	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.2327	             NaN	1.548	1.5986	             NaN	             NaN	1.0522	1.0294
MAPKAPK3	             NaN	             NaN	1.1709	             NaN	             NaN	1.1343	1.3838	2.2801	1.2798	1.2796	1.0621	             NaN	             NaN	1.8118	1.0833	1.4775	             NaN	1.1537	1.7057	             NaN	             NaN	             NaN	             NaN	             NaN	1.247	             NaN	             NaN	1.192	             NaN	1.01	             NaN	             NaN	             NaN	             NaN	2.4229	1.0443	2.548	2.0196	             NaN	             NaN	1.918	2.3219
EIF4B	             NaN	             NaN	1.0686	1.2772	1.0584	1.4953	2.4969	1.7664	1.5049	             NaN	             NaN	1.5515	1.1878	3.4324	1.2435	1.2698	             NaN	3.0403	2.0321	             NaN	             NaN	             NaN	             NaN	1.397	2.5327	1.493	1.5189	1.2245	             NaN	             NaN	             NaN	             NaN	             NaN	1.2814	2.9373	             NaN	1.0196	1.3071	             NaN	1.2016	1.4183	3.3219
PPP1R7	             NaN	             NaN	1.0283	1.003	             NaN	1.3715	1.0535	1.8885	1.4755	1.2659	1.2979	             NaN	             NaN	1.2271	1.294	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0161	1.0368	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6967	             NaN	1.353	1.4913	1.0838	             NaN	1.4621	1.3219
LGALS1	             NaN	             NaN	1.5429	             NaN	1.1031	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5214	1.5472	             NaN	             NaN	1.001	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.5242	             NaN	2.5363	1.1553	             NaN	             NaN	1.0283	             NaN
GPI	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2363	1.145	1.3795	             NaN	1.0054	             NaN	1.0072	             NaN	             NaN	             NaN	             NaN	1.0079	1.0398	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1108	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1307	             NaN	1.8115	1.1893	             NaN	             NaN	             NaN	             NaN
COX4I1	             NaN	             NaN	1.3364	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3837	1.2415	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.8186	1.102	1.6517	1.3992	             NaN	5.04	2.348	             NaN
COX5B	             NaN	             NaN	1.4449	             NaN	             NaN	             NaN	             NaN	             NaN	1.2582	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1318	             NaN	1.1121	             NaN	             NaN	             NaN	1.176	             NaN	             NaN	             NaN	1.0914	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0931	             NaN	1.2422	             NaN	1.0605	             NaN	1.0704	2.4139	             NaN
BCAP31	             NaN	             NaN	1.0367	             NaN	1.0545	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2318	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6676	1.417	             NaN	1.263	2.0564	             NaN
