genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
MIF	             NaN	             NaN	5.7335	             NaN	1.3774	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.126	             NaN	3.1035	3.8217	             NaN	2.3448	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.7425	4.0993	             NaN	1.6025	1.1527	             NaN	2.2151	2.7886	1.5248
SNRPD2	             NaN	             NaN	1.0875	             NaN	             NaN	             NaN	             NaN	1.0926	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3072	1.0078	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4771	1.7198	             NaN	3.9069	             NaN	             NaN
PSMB3	             NaN	             NaN	1.2117	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2841	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0099	1.0424	             NaN	             NaN	             NaN	1.926	1.1039	             NaN
ATP6V0C	             NaN	             NaN	             NaN	             NaN	1.4443	             NaN	             NaN	1.3084	1.0966	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2554	             NaN	1.4648	1.2972	1.2924	             NaN	             NaN	             NaN	             NaN	             NaN	1.0265	             NaN	1.2244	             NaN	2.2359	             NaN	             NaN	1.3612	1.3219
RPL18	             NaN	             NaN	1.801	             NaN	1.0893	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5129	             NaN	2.619	1.9302	             NaN	             NaN	             NaN	             NaN	1.4188	1.1217	2.35	5.0317	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.4495	             NaN	             NaN	1.3003	             NaN	3.3074	1.7555	1.737
RPS25	             NaN	             NaN	             NaN	             NaN	1.4183	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.3241	2.4532	2.3155	2.1496	1.158	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.3373	1.2949	1.8531	2.6356	1.0165	1.8995	1.919	2.8421
RPL14	             NaN	             NaN	             NaN	             NaN	1.1324	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0554	1.7364	1.1805	1.1904	1.3383	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.7949	             NaN	1.0243	1.3353	             NaN	1.4037	1.8933	             NaN
PARK7	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2019	             NaN	1.4951	1.0071	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4708	             NaN	             NaN	             NaN	             NaN	             NaN	1.4054	1.8526	1.1578	1.5351	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1988	3.6135	             NaN	             NaN	1.0703	             NaN	2.9819	1.9119	3.3219
RHOA	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9129	2.9804	1.9862	3.6225	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.2133	             NaN	1.0482	1.2445	             NaN	1.8345	1.661	             NaN
MDH1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3219	1.0103	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0147	             NaN	             NaN	             NaN	             NaN	             NaN	1.8914	1.4202	2.9342	1.4292	1.3784	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.7991	             NaN	             NaN	1.0212	             NaN	2.3219	1.1893	             NaN
ATP5A1	             NaN	             NaN	             NaN	             NaN	1.1541	             NaN	             NaN	1.2766	1.0741	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0462	             NaN	             NaN	             NaN	             NaN	             NaN	2.0109	1.4888	2.2977	2.501	1.1514	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.8288	             NaN	             NaN	             NaN	             NaN	3.0704	1.3242	1.5294
AKR1A1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1921	1.2145	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0458	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.7268	             NaN	1.0838	1.0072	             NaN	2.9635	1.3785	             NaN
HSPD1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.043	             NaN	             NaN	1.2803	             NaN	             NaN	             NaN	             NaN	1.0495	             NaN	1.6103	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2863	1.3843	1.4746	1.1238	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1263	4.7115	1.22	1.2653	             NaN	             NaN	1.6781	             NaN	             NaN
HSPCB	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5209	1.7984	1.267	1.8049	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.0824	             NaN	             NaN	1.419	             NaN	1.8074	             NaN	             NaN
CYFIP1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8507	1.459	1.3994	1.2125	1.2717	             NaN	             NaN	1.0702	             NaN	             NaN	             NaN	1.18	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1726	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.3757	             NaN	             NaN	1.0196	             NaN	2.5361	1.1667	             NaN
RPS9	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2007	             NaN	             NaN	1.0187	1.3778	1.2658	             NaN	             NaN	             NaN	             NaN	1.4809	             NaN	             NaN	             NaN	             NaN	             NaN	1.4727	             NaN	1.3598	1.5299	1.258	             NaN	2.7191	2.9339	             NaN
COX6B	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.3229	             NaN	             NaN	             NaN	             NaN	1.1458	             NaN	             NaN
COX8A	             NaN	             NaN	1.8228	             NaN	1.3011	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0904	             NaN	1.2436	1.0578	             NaN	             NaN	             NaN	             NaN	1.6207	1.0838	1.4831	1.3851	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.3764	1.3031	1.7779	1.8698	             NaN	1.4408	1.9534	             NaN
EIF4A1	             NaN	             NaN	             NaN	             NaN	1.0607	             NaN	             NaN	             NaN	1.0544	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0538	1.0284	             NaN	             NaN	1.2724	             NaN	             NaN	             NaN	             NaN	             NaN	1.0757	5.1651	             NaN	1.2249	1.3636	             NaN	4.9021	1.9909	             NaN
ATP6V1F	             NaN	             NaN	1.9069	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5002	1.3425	             NaN	             NaN	             NaN	             NaN	             NaN	1.5771	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.5789	             NaN	1.0436	1.6585	             NaN	2.9635	1.6795	             NaN
PFDN5	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1115	1.1191	             NaN	             NaN	1.1529	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0517	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1078	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.851	1.2026	             NaN	             NaN	             NaN	1.203	2.3678	             NaN
NEDD8	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0585	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0353	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.8836	1.0039	             NaN	             NaN	             NaN	1.3785	1.4057	             NaN
RPL4	             NaN	             NaN	1.9172	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9811	1.7574	             NaN	             NaN	             NaN	             NaN	1.2907	1.1724	1.1504	1.2291	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.9857	             NaN	             NaN	             NaN	             NaN	1.6893	2.4902	             NaN
RPLP1	             NaN	             NaN	             NaN	             NaN	1.9294	             NaN	1.3241	             NaN	             NaN	1.129	1.568	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0315	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0168	6.15	1.0088	2.0786	2.3093	             NaN	3.1315	2.8099	             NaN
RPL27	             NaN	             NaN	             NaN	             NaN	             NaN	1.9548	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1277	6.4631	1.1312	1.3137	1.3481	             NaN	1.2852	1.932	             NaN
RPS17	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	6.8489	1.0995	1.0566	             NaN	             NaN	             NaN	1.3277	             NaN
RPLP0	             NaN	             NaN	             NaN	             NaN	1.7141	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0208	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	6.3968	1.1687	1.4042	1.5277	             NaN	             NaN	1.8568	             NaN
RPS15	1.0979	             NaN	             NaN	             NaN	1.7649	             NaN	1.499	             NaN	             NaN	             NaN	1.4653	             NaN	1.309	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.093	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0538	5.5668	1.7558	1.0917	1.042	             NaN	2.4854	1.839	             NaN
OAZ1	             NaN	             NaN	1.269	             NaN	2.8259	             NaN	1.6298	             NaN	             NaN	1.1056	1.8631	             NaN	1.0077	             NaN	             NaN	             NaN	             NaN	1.5411	1.169	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0555	             NaN	1.1125	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	6.372	1.6981	2.5675	3.1766	             NaN	             NaN	1.0945	             NaN
FTH1	             NaN	             NaN	2.0111	             NaN	2.1954	             NaN	1.4623	             NaN	             NaN	1.1711	1.7614	             NaN	             NaN	             NaN	             NaN	1.4444	             NaN	2.3939	1.7322	             NaN	             NaN	1.4351	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.25	1.03	1.02	             NaN	1.06	1.2086	6.772	1.3859	1.5661	1.6505	             NaN	             NaN	2.0076	             NaN
KARS	             NaN	             NaN	2.0073	             NaN	1.1681	1.0249	1.1668	             NaN	             NaN	1.0653	             NaN	             NaN	             NaN	             NaN	1.0603	             NaN	             NaN	2.1212	2.321	             NaN	             NaN	             NaN	             NaN	1.1105	1.3334	1.5175	1.2183	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.0374	1.3151	1.4142	             NaN	             NaN	1.2016	             NaN	             NaN
PSMB2	             NaN	             NaN	1.1511	             NaN	1.231	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2886	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.2987	             NaN	1.4696	1.4724	             NaN	1.0688	             NaN	1.1752
CIRBP	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1666	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.587	4.7463	             NaN	1.5352	1.6863	             NaN	             NaN	1.302	             NaN
PSMD7	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3248	             NaN	1.0528	             NaN	             NaN	             NaN	             NaN	             NaN
RNPS1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.9635	1.0115	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN
GANAB	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1665	             NaN	             NaN	             NaN	1.0519	             NaN	             NaN	             NaN	1.12	             NaN	             NaN	1.1127	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0452	1.0102	1.364	             NaN	1.1269	             NaN	1.6323	1.1258	             NaN
CAP1	             NaN	             NaN	             NaN	             NaN	1.0348	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.044	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8306	             NaN	             NaN	1.0235	             NaN	1.263	1.0945	             NaN
POLR2L	             NaN	             NaN	1.2988	             NaN	             NaN	             NaN	             NaN	             NaN	1.053	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3503	1.4063	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1594	1.1023	1.0196	             NaN	1.3219	1.4183	1.3645	             NaN
HDLBP	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1443	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0411	1.3168	             NaN	1.353	             NaN	1.8074	             NaN	             NaN
CLTA	             NaN	             NaN	1.6	             NaN	             NaN	             NaN	             NaN	1.0883	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4775	             NaN	             NaN	1.218	             NaN	             NaN	             NaN	             NaN	1.0255	1.0788	1.5719	1.3348	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8745	1.6431	1.037	1.3068	             NaN	             NaN	1.4696	1.3219
DNAJB1	             NaN	             NaN	2.4297	             NaN	             NaN	1.253	1.1574	             NaN	1.2342	             NaN	             NaN	             NaN	             NaN	2.4646	2.36	1.3333	1.3571	             NaN	1.5464	1.5686	             NaN	             NaN	             NaN	             NaN	             NaN	1.2713	1.1989	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.121	1.1155	2.3219	1.8271	             NaN	             NaN	             NaN	3.3219
PTDSS1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0193	1.2001	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1059	4.3176	             NaN	1.1269	             NaN	             NaN	             NaN	1.0352	1.3219
MATK	             NaN	             NaN	             NaN	             NaN	1.0344	1.0021	1.0256	2.4307	1.1944	             NaN	1.337	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3748	1.3286	1.6413	1.4663	1.0006	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.498	1.496	1.5986	1.0528	             NaN	1.0922	             NaN	1.3219
ECHS1	             NaN	             NaN	1.3481	             NaN	1.15	             NaN	             NaN	1.2021	1.721	1.3186	1.0253	             NaN	1.2269	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1415	1.206	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.6076	1.0114	1.2653	             NaN	             NaN	1.1258	             NaN	1.3219
ATP5G1	             NaN	             NaN	1.6306	             NaN	1.6205	             NaN	             NaN	1.0656	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0485	1.6205	             NaN	             NaN	             NaN	             NaN	             NaN	1.5493	1.4902	1.5097	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.1859	             NaN	1.0294	             NaN	             NaN	1.0294	             NaN	1.3219
FKBP2	1.0505	             NaN	             NaN	1.0473	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4079	             NaN	             NaN	             NaN	1.2266	1.0797	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.6933	3.1538	1.0949	             NaN	             NaN	             NaN	3.7549	             NaN	             NaN
TCIRG1	             NaN	             NaN	1.5562	             NaN	             NaN	             NaN	             NaN	1.2295	1.4798	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8416	1.4778	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0859	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0883	4.1667	1.113	             NaN	1.1073	             NaN	1.7225	             NaN	             NaN
PSMD2	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.9653	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN
CD151	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0943	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0266	             NaN	1.0604	1.6223	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.6531	             NaN	             NaN	1.1121	             NaN	             NaN	             NaN	             NaN
RHOC	             NaN	             NaN	1.3571	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2407	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.8758	             NaN	1.8264	             NaN	             NaN	1.2016	             NaN	1.085
PCDH1	1.2496	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2045	             NaN	             NaN	1.0127	1.0488	1.0213	1.3176	1.2589	             NaN	             NaN	             NaN	1.2253	             NaN	1.4178	1.4222	1.8915	1.0167	1.5459	1.1256	             NaN	             NaN	             NaN	             NaN	             NaN	1.0531	2.8992	             NaN	             NaN	1.1269	             NaN	1.3219	             NaN	             NaN
CREB3	             NaN	             NaN	             NaN	             NaN	1.8968	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.3517	             NaN	1.2566	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.548	1.6327	1.2363	1.6906	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.848	1.1393	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN
C2	             NaN	             NaN	             NaN	1.0126	1.4896	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.615	1.3098	             NaN	             NaN	             NaN	1.0285	             NaN	             NaN	             NaN	1.1035	             NaN	             NaN	             NaN	             NaN	1.3924	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5808	4.4289	             NaN	1.3329	             NaN	             NaN	             NaN	1.085	             NaN
IL3RA	1.5353	1.2067	1.3148	             NaN	1.3093	1.0072	1.0112	1.4493	1.2024	1.1913	1.7745	1.1371	1.4202	             NaN	1.333	1.193	1.8181	1.3472	1.1448	1.6959	1.8181	             NaN	1.8181	             NaN	1.6374	1.4832	1.9969	1.8206	             NaN	1.78	1.445	1.615	2.135	             NaN	3.9279	1.6438	1.3032	1.0196	1.0306	3	             NaN	             NaN
SRF	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2432	             NaN	1.2211	             NaN	             NaN	             NaN	             NaN	1.7962	1.4733	1.1547	             NaN	             NaN	1.0524	             NaN	             NaN	             NaN	1.15	             NaN	             NaN	1.2127	3.0215	             NaN	             NaN	             NaN	             NaN	             NaN	1.1375	             NaN
IL2RG	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3051	             NaN	             NaN	1.1294	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4078	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.0144	1.0952	1.2003	             NaN	             NaN	1.2016	1	1.0704
MGAT1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7063	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0812	2.8731	2.2537	2.3849	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.7991	             NaN	1.0154	1.6668	             NaN	1.2336	1.4506	             NaN
C5R1	             NaN	             NaN	             NaN	             NaN	             NaN	6.5297	             NaN	1.3873	1.3127	1.5537	1.1955	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0071	             NaN	             NaN	             NaN	             NaN	             NaN	1.2292	1.6989	1.3761	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3132	3.5558	             NaN	3.127	1.5248	2.595	2.341	1.5655	             NaN
PSMC1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1576	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0238	             NaN	             NaN	2.0866	1.1422	             NaN	3.6206	             NaN	             NaN
ATOX1	             NaN	             NaN	1.4218	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.215	             NaN	             NaN	1.1448	1.1147	             NaN	             NaN	             NaN	             NaN	             NaN	1.0781	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0166	1.0705	1.227	1.2449	1.0194	1.9399	1.1851	1.0107
PSMB7	             NaN	             NaN	1.1087	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6274	             NaN	             NaN	             NaN	1.0505	1.4799	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.01	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0361	1.7742	1.7245	1.3551	3.0875	1.4928	2.3571
IL10RB	             NaN	             NaN	             NaN	             NaN	1.0073	1.0549	             NaN	1.6278	1.35	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2014	             NaN	             NaN	1.0188	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0098	1.9296	1.3508	1.1667	1.5352	             NaN	2.1699	1.424	             NaN
PSCD1	             NaN	             NaN	1.6506	2.4967	             NaN	1.2796	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.6349	             NaN	4.374	1.982	             NaN	1.4238	1.8997	2.3448	2.2391	2.1371	             NaN	1.6205	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7047	2.8992	             NaN	1.3628	1.4438	1.0038	1.2218	1.3068	1.424
